fkey,frequency,account_date,date,amount,duration,payments,status
434,POPLATEK MESICNE,960216,971211,130464,48,2718.0,C
435,POPLATEK MESICNE,950315,951212,191880,60,3198.0,C
436,POPLATEK MESICNE,930905,950327,31728,24,1322.0,A
437,POPLATEK MESICNE,950208,960518,320592,48,6679.0,C
438,POPLATEK MESICNE,960922,980108,170448,48,3551.0,C
439,POPLATEK MESICNE,961008,980126,42384,12,3532.0,C
440,POPLATEK MESICNE,960819,970129,390096,48,8127.0,C
441,POPLATEK MESICNE,960721,970321,94488,24,3937.0,C
442,POPLATEK TYDNE,960525,980225,220440,60,3674.0,C
443,POPLATEK MESICNE,970703,980528,45456,12,3788.0,C
444,POPLATEK TYDNE,960708,980512,140064,24,5836.0,C
445,POPLATEK MESICNE,961129,971220,77544,36,2154.0,C
446,POPLATEK MESICNE,930208,940311,51696,24,2154.0,A
447,POPLATEK TYDNE,940710,951211,27984,12,2332.0,A
448,POPLATEK MESICNE,931003,940522,196080,48,4085.0,A
449,POPLATEK MESICNE,950105,961029,372120,60,6202.0,C
450,POPLATEK TYDNE,950409,960101,189696,24,7904.0,A
451,POPLATEK MESICNE,930801,950202,20832,48,434.0,C
452,POPLATEK MESICNE,940517,940928,189696,24,7904.0,B
453,POPLATEK MESICNE,931126,940625,91584,24,3816.0,A
454,POPLATEK MESICNE,930804,950118,68112,12,5676.0,A
455,POPLATEK MESICNE,950314,961119,72120,12,6010.0,A
456,POPLATEK MESICNE,950422,951008,21852,36,607.0,A
457,POPLATEK MESICNE,960326,971014,79344,48,1653.0,C
458,POPLATEK MESICNE,960409,971021,153144,36,4254.0,C
459,POPLATEK MESICNE,960727,970831,97392,12,8116.0,A
460,POPLATEK TYDNE,960609,960922,84120,24,3505.0,A
461,POPLATEK MESICNE,950907,970614,42900,12,3575.0,A
462,POPLATEK MESICNE,931108,940930,71460,12,5955.0,A
463,POPLATEK MESICNE,961227,970907,473280,60,7888.0,D
464,POPLATEK MESICNE,960830,980423,144960,48,3020.0,C
465,POPLATEK MESICNE,960425,980205,160656,24,6694.0,C
466,POPLATEK MESICNE,970323,970909,128268,36,3563.0,C
467,POPLATEK TYDNE,930707,940605,77640,12,6470.0,A
468,POPLATEK MESICNE,960817,980118,35856,24,1494.0,C
469,POPLATEK MESICNE,951217,961020,93600,24,3900.0,A
470,POPLATEK MESICNE,931010,941106,140400,36,3900.0,A
471,POPLATEK TYDNE,930207,940601,208320,48,4340.0,A
472,POPLATEK PO OBRATU,930903,940217,49320,12,4110.0,B
473,POPLATEK MESICNE,960408,971017,260400,60,4340.0,D
474,POPLATEK MESICNE,950111,960220,56100,60,935.0,C
475,POPLATEK MESICNE,961124,970509,220428,36,6123.0,C
476,POPLATEK MESICNE,951014,970815,99300,60,1655.0,C
477,POPLATEK MESICNE,941013,960715,155880,24,6495.0,A
478,POPLATEK MESICNE,930626,940730,74736,36,2076.0,A
479,POPLATEK TYDNE,960616,971101,238716,36,6631.0,C
480,POPLATEK MESICNE,950208,950613,29784,24,1241.0,A
481,POPLATEK MESICNE,951128,970812,97980,60,1633.0,C
482,POPLATEK MESICNE,930705,940520,80340,12,6695.0,A
483,POPLATEK MESICNE,961207,980330,36204,12,3017.0,D
484,POPLATEK MESICNE,930324,940825,224604,36,6239.0,A
485,POPLATEK MESICNE,930512,930913,87840,24,3660.0,A
486,POPLATEK MESICNE,960919,970926,8616,24,359.0,C
487,POPLATEK MESICNE,940604,950319,134784,24,5616.0,A
488,POPLATEK MESICNE,970119,970604,309660,60,5161.0,C
489,POPLATEK MESICNE,930412,940509,89040,60,1484.0,C
490,POPLATEK TYDNE,950808,960310,247728,48,5161.0,C
491,POPLATEK MESICNE,930328,940330,7656,24,319.0,A
492,POPLATEK MESICNE,931120,950601,417060,60,6951.0,C
493,POPLATEK MESICNE,960917,970725,333648,48,6951.0,D
494,POPLATEK MESICNE,940510,951014,266220,60,4437.0,C
495,POPLATEK MESICNE,941202,960506,220620,60,3677.0,C
496,POPLATEK MESICNE,930908,940121,21072,24,878.0,A
497,POPLATEK MESICNE,930918,950623,265320,36,7370.0,A
498,POPLATEK MESICNE,940629,950903,85860,60,1431.0,C
499,POPLATEK MESICNE,970320,971210,42840,12,3570.0,A
500,POPLATEK MESICNE,930402,940811,74688,12,6224.0,A
501,POPLATEK MESICNE,961125,980215,93036,12,7753.0,C
502,POPLATEK MESICNE,951010,960919,174048,48,3626.0,C
503,POPLATEK TYDNE,950717,960530,173016,36,4806.0,C
504,POPLATEK PO OBRATU,940227,940614,288360,60,4806.0,C
505,POPLATEK MESICNE,930912,950311,76680,24,3195.0,A
506,POPLATEK MESICNE,931008,940929,230220,36,6395.0,B
507,POPLATEK MESICNE,931110,950410,47304,24,1971.0,A
508,POPLATEK MESICNE,970822,980606,185640,60,3094.0,C
509,POPLATEK MESICNE,970623,981208,240900,60,4015.0,C
510,POPLATEK MESICNE,960212,960714,85716,36,2381.0,C
511,POPLATEK MESICNE,961122,970320,67980,12,5665.0,A
512,POPLATEK MESICNE,970518,980724,170700,60,2845.0,C
513,POPLATEK MESICNE,970128,970729,33144,12,2762.0,A
514,POPLATEK MESICNE,960516,970619,88272,48,1839.0,C
515,POPLATEK MESICNE,940824,950826,33984,48,708.0,C
516,POPLATEK MESICNE,961016,980428,74352,24,3098.0,C
517,POPLATEK TYDNE,940905,951225,125340,60,2089.0,C
518,POPLATEK MESICNE,970703,980608,76104,24,3171.0,C
519,POPLATEK MESICNE,970321,980123,566640,60,9444.0,C
520,POPLATEK TYDNE,960101,970130,186300,60,3105.0,C
521,POPLATEK MESICNE,960521,961221,45024,48,938.0,C
522,POPLATEK MESICNE,930925,941012,227880,36,6330.0,A
523,POPLATEK TYDNE,940902,960608,186384,48,3883.0,C
524,POPLATEK MESICNE,951122,960326,100224,48,2088.0,D
525,POPLATEK MESICNE,960105,961004,70656,48,1472.0,C
526,POPLATEK MESICNE,950121,961212,155616,48,3242.0,C
527,POPLATEK MESICNE,970115,970503,50112,24,2088.0,C
528,POPLATEK MESICNE,930628,931216,38148,12,3179.0,A
529,POPLATEK MESICNE,961022,980915,321936,48,6707.0,C
530,POPLATEK PO OBRATU,950830,970226,71976,24,2999.0,D
531,POPLATEK MESICNE,930616,940803,189300,60,3155.0,C
532,POPLATEK MESICNE,940121,940807,172080,48,3585.0,A
533,POPLATEK MESICNE,960718,970603,272220,60,4537.0,D
534,POPLATEK MESICNE,970818,981110,16032,48,334.0,C
535,POPLATEK MESICNE,961212,980301,52236,36,1451.0,C
536,POPLATEK MESICNE,970914,981201,163332,36,4537.0,C
537,POPLATEK MESICNE,960802,980608,69600,48,1450.0,C
538,POPLATEK MESICNE,970402,980307,272220,60,4537.0,C
539,POPLATEK MESICNE,970121,980228,215040,60,3584.0,C
540,POPLATEK MESICNE,930208,930728,127080,60,2118.0,A
541,POPLATEK MESICNE,960515,960911,29448,12,2454.0,B
542,POPLATEK MESICNE,961028,980205,122472,24,5103.0,C
543,POPLATEK MESICNE,970524,981012,82128,24,3422.0,C
544,POPLATEK MESICNE,960101,970413,164256,48,3422.0,C
545,POPLATEK MESICNE,971104,980429,191580,60,3193.0,C
546,POPLATEK MESICNE,950624,970313,83280,48,1735.0,C
547,POPLATEK MESICNE,930818,931221,86616,12,7218.0,A
548,POPLATEK MESICNE,960925,970619,285240,60,4754.0,C
549,POPLATEK MESICNE,960315,970124,23184,12,1932.0,A
550,POPLATEK MESICNE,960604,970508,39576,12,3298.0,A
551,POPLATEK MESICNE,930204,940711,39576,12,3298.0,A
552,POPLATEK MESICNE,930124,940919,41904,12,3492.0,A
553,POPLATEK MESICNE,930913,940604,52128,24,2172.0,A
554,POPLATEK MESICNE,951103,970608,188616,24,7859.0,C
555,POPLATEK MESICNE,950917,970429,99936,24,4164.0,C
556,POPLATEK TYDNE,930327,940805,120888,36,3358.0,A
557,POPLATEK MESICNE,960306,961029,86184,12,7182.0,A
558,POPLATEK MESICNE,961230,970826,83628,36,2323.0,C
559,POPLATEK MESICNE,970814,981005,44640,24,1860.0,C
560,POPLATEK MESICNE,961103,980207,374760,60,6246.0,C
561,POPLATEK TYDNE,930706,950508,36396,12,3033.0,A
562,POPLATEK TYDNE,960808,980625,225504,48,4698.0,C
563,POPLATEK MESICNE,950402,950909,188688,48,3931.0,C
564,POPLATEK MESICNE,960510,970209,116832,12,9736.0,A
565,POPLATEK MESICNE,960129,970310,341280,60,5688.0,C
566,POPLATEK MESICNE,960609,961122,228276,36,6341.0,C
567,POPLATEK MESICNE,960512,970716,18324,12,1527.0,A
568,POPLATEK MESICNE,960607,961115,46176,48,962.0,C
569,POPLATEK MESICNE,970713,980315,157068,36,4363.0,C
570,POPLATEK TYDNE,940522,951212,104712,24,4363.0,A
571,POPLATEK MESICNE,930520,950411,104712,24,4363.0,A
572,POPLATEK PO OBRATU,940722,951122,244368,48,5091.0,C
573,POPLATEK MESICNE,960625,971109,59448,24,2477.0,C
574,POPLATEK MESICNE,960108,970630,59448,24,2477.0,D
575,POPLATEK MESICNE,930313,950111,76416,24,3184.0,A
576,POPLATEK MESICNE,960123,960606,176148,36,4893.0,C
577,POPLATEK TYDNE,960730,980402,279072,48,5814.0,C
578,POPLATEK MESICNE,931114,950613,139536,24,5814.0,A
579,POPLATEK MESICNE,970607,980912,88200,36,2450.0,C
580,POPLATEK MESICNE,961013,970617,31620,60,527.0,C
581,POPLATEK MESICNE,970101,970815,116040,60,1934.0,C
582,POPLATEK PO OBRATU,941201,951122,113796,36,3161.0,A
583,POPLATEK MESICNE,940516,950211,151728,48,3161.0,D
584,POPLATEK MESICNE,951109,960727,133968,48,2791.0,C
585,POPLATEK TYDNE,950119,960926,96168,12,8014.0,A
586,POPLATEK MESICNE,930520,950413,126600,24,5275.0,A
587,POPLATEK MESICNE,930724,940521,97632,12,8136.0,A
588,POPLATEK MESICNE,960708,970810,300600,60,5010.0,C
589,POPLATEK MESICNE,930821,950315,331560,60,5526.0,C
590,POPLATEK MESICNE,950304,950922,36168,12,3014.0,A
591,POPLATEK MESICNE,951109,960802,89340,60,1489.0,C
592,POPLATEK MESICNE,950528,960711,19044,36,529.0,C
593,POPLATEK MESICNE,971129,980729,210744,36,5854.0,C
594,POPLATEK MESICNE,950615,960925,194940,36,5415.0,C
595,POPLATEK MESICNE,970507,980103,218064,48,4543.0,C
596,POPLATEK MESICNE,960328,970328,91632,12,7636.0,A
597,POPLATEK TYDNE,961013,970624,233424,36,6484.0,C
598,POPLATEK MESICNE,960330,970923,311232,48,6484.0,C
599,POPLATEK MESICNE,970402,970728,77808,12,6484.0,A
600,POPLATEK MESICNE,930506,940406,167100,60,2785.0,C
601,POPLATEK TYDNE,940701,951020,231696,36,6436.0,A
602,POPLATEK MESICNE,930428,940827,121896,24,5079.0,A
603,POPLATEK MESICNE,931127,940502,215388,36,5983.0,B
604,POPLATEK MESICNE,970426,980111,136368,24,5682.0,C
605,POPLATEK MESICNE,970113,980127,22104,12,1842.0,C
606,POPLATEK MESICNE,960708,970619,305424,48,6363.0,C
607,POPLATEK MESICNE,960412,970220,44304,24,1846.0,C
608,POPLATEK MESICNE,960221,970503,239160,60,3986.0,C
609,POPLATEK MESICNE,970903,980922,113436,36,3151.0,C
610,POPLATEK MESICNE,970501,980902,37812,12,3151.0,C
611,POPLATEK MESICNE,930610,931223,75624,24,3151.0,B
612,POPLATEK MESICNE,961201,971231,348120,60,5802.0,C
613,POPLATEK MESICNE,960119,961118,421008,48,8771.0,C
614,POPLATEK MESICNE,930711,931213,259740,60,4329.0,A
615,POPLATEK MESICNE,960407,980121,31260,12,2605.0,C
616,POPLATEK MESICNE,950504,970304,88704,48,1848.0,C
617,POPLATEK MESICNE,960621,970602,86880,12,7240.0,A
618,POPLATEK MESICNE,930117,931110,21924,36,609.0,A
619,POPLATEK MESICNE,950902,970104,260640,36,7240.0,D
620,POPLATEK MESICNE,961230,980301,194280,60,3238.0,C
621,POPLATEK PO OBRATU,951123,961211,123408,24,5142.0,A
622,POPLATEK MESICNE,960321,960928,54396,36,1511.0,C
623,POPLATEK MESICNE,931121,940603,151560,24,6315.0,A
624,POPLATEK MESICNE,930913,950703,60000,60,1000.0,C
625,POPLATEK MESICNE,960529,980122,23412,12,1951.0,C
626,POPLATEK MESICNE,930829,941219,482940,60,8049.0,D
627,POPLATEK TYDNE,960224,980102,267600,48,5575.0,C
628,POPLATEK MESICNE,970109,980218,133800,24,5575.0,C
629,POPLATEK PO OBRATU,951024,961205,417600,60,6960.0,C
630,POPLATEK MESICNE,971104,980815,249792,48,5204.0,C
631,POPLATEK MESICNE,950115,950624,198240,24,8260.0,A
632,POPLATEK MESICNE,970712,980618,269964,36,7499.0,C
633,POPLATEK MESICNE,961221,980705,208332,36,5787.0,C
634,POPLATEK MESICNE,970909,980224,196224,48,4088.0,C
635,POPLATEK MESICNE,970318,980507,45720,12,3810.0,C
636,POPLATEK MESICNE,931208,951028,260028,36,7223.0,A
637,POPLATEK MESICNE,970530,971002,197808,24,8242.0,C
638,POPLATEK MESICNE,960708,971224,24180,60,403.0,C
639,POPLATEK MESICNE,941223,960321,154656,48,3222.0,C
640,POPLATEK TYDNE,930417,941221,115992,36,3222.0,A
641,POPLATEK MESICNE,951023,960917,68832,36,1912.0,C
642,POPLATEK MESICNE,970705,980423,339168,48,7066.0,C
643,POPLATEK TYDNE,931122,940823,45768,12,3814.0,A
644,POPLATEK MESICNE,960918,971209,45768,12,3814.0,A
645,POPLATEK MESICNE,970819,980711,31140,60,519.0,C
646,POPLATEK MESICNE,960313,970307,67464,12,5622.0,A
647,POPLATEK MESICNE,970408,980529,140688,48,2931.0,C
648,POPLATEK MESICNE,961002,971130,385560,60,6426.0,D
649,POPLATEK MESICNE,950220,960213,113544,36,3154.0,C
650,POPLATEK MESICNE,961121,970823,57120,48,1190.0,C
651,POPLATEK TYDNE,930529,940728,131292,36,3647.0,A
652,POPLATEK TYDNE,970215,980611,152460,60,2541.0,C
653,POPLATEK MESICNE,930913,940223,197748,36,5493.0,A
654,POPLATEK TYDNE,940605,951002,314520,60,5242.0,C
655,POPLATEK MESICNE,960729,970402,18720,60,312.0,C
656,POPLATEK MESICNE,950520,961225,115812,36,3217.0,C
657,POPLATEK TYDNE,930420,931013,154416,48,3217.0,A
658,POPLATEK TYDNE,930214,930906,274740,60,4579.0,A
659,POPLATEK MESICNE,930810,950304,168984,24,7041.0,B
660,POPLATEK TYDNE,960726,971023,48096,24,2004.0,C
661,POPLATEK MESICNE,950129,951204,217152,36,6032.0,A
662,POPLATEK TYDNE,960201,960820,148920,60,2482.0,C
663,POPLATEK MESICNE,930319,940612,69360,48,1445.0,A
664,POPLATEK MESICNE,950602,970304,119136,48,2482.0,C
665,POPLATEK MESICNE,951110,970426,98304,12,8192.0,A
666,POPLATEK MESICNE,961210,970609,213300,60,3555.0,C
667,POPLATEK MESICNE,930520,940131,108144,36,3004.0,A
668,POPLATEK MESICNE,931010,940301,182628,36,5073.0,A
669,POPLATEK TYDNE,950818,960119,89880,24,3745.0,A
670,POPLATEK TYDNE,970211,971007,44940,12,3745.0,A
671,POPLATEK MESICNE,941124,961002,392460,60,6541.0,C
672,POPLATEK MESICNE,970205,971024,89280,12,7440.0,A
673,POPLATEK MESICNE,970112,971211,155760,24,6490.0,C
674,POPLATEK MESICNE,930114,930915,52788,12,4399.0,A
675,POPLATEK MESICNE,950920,970131,67320,36,1870.0,C
676,POPLATEK MESICNE,970711,981122,317460,60,5291.0,C
677,POPLATEK MESICNE,971015,980927,39168,24,1632.0,C
678,POPLATEK MESICNE,961105,980718,280440,60,4674.0,C
679,POPLATEK TYDNE,950526,951029,419880,60,6998.0,C
680,POPLATEK MESICNE,941001,960806,54024,12,4502.0,A
681,POPLATEK MESICNE,951014,961227,129408,24,5392.0,A
